Category,precision,recall,f1-score,support
Unknown-2171,6.67 ± 14.91,10.00 ± 22.36,8.00 ± 17.89,520.00 ± 258.84
Unknown-2172,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,100.00 ± 100.00
Unknown-2173,40.00 ± 36.51,26.44 ± 21.23,25.09 ± 16.91,800.00 ± 393.70
Unknown-2174,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,40.00 ± 54.77
Unknown-2175,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,125.00 ± 95.74
Unknown-2178,22.09 ± 16.21,63.33 ± 44.72,31.43 ± 21.54,220.00 ± 238.75
Unknown-2179,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,150.00 ± 57.74
Unknown-2180,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,66.67 ± 57.74
Unknown-2181,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,60.00 ± 89.44
Unknown-2182,20.77 ± 29.21,24.67 ± 23.29,20.08 ± 25.59,300.00 ± 158.11
Unknown-2184,10.00 ± 22.36,20.00 ± 44.72,13.33 ± 29.81,200.00 ± 141.42
Unknown-2185,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,200.00 ± 270.80
Unknown-2186,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,50.00 ± 70.71
Unknown-2188,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,125.00 ± 50.00
Unknown-2190,5.00 ± 11.18,5.00 ± 11.18,5.00 ± 11.18,580.00 ± 460.43
Unknown-2191,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,250.00 ± 129.10
Unknown-2193,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,133.33 ± 152.75
Unknown-2194,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,140.00 ± 54.77
Unknown-2195,5.77 ± 10.88,20.00 ± 29.81,8.65 ± 15.78,380.00 ± 109.54
Unknown-2196,1.18 ± 2.63,1.82 ± 4.07,1.43 ± 3.19,560.00 ± 456.07
Unknown-2201,15.83 ± 17.42,18.57 ± 21.19,17.07 ± 19.08,700.00 ± 430.12
Unknown-2202,13.33 ± 16.33,50.00 ± 57.74,20.83 ± 25.00,125.00 ± 50.00
Unknown-2203,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,400.00 ± 234.52
Unknown-2204,12.57 ± 14.24,15.24 ± 15.58,12.86 ± 13.84,480.00 ± 268.33
Unknown-2206,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,225.00 ± 263.00
Unknown-2211,25.93 ± 28.59,27.82 ± 22.94,25.60 ± 24.21,1060.00 ± 433.59
Unknown-2212,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,133.33 ± 57.74
Unknown-2213,13.33 ± 21.73,20.00 ± 27.39,15.00 ± 22.36,120.00 ± 83.67
Unknown-2214,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,75.00 ± 95.74
Unknown-2215,2.50 ± 5.00,5.00 ± 10.00,3.33 ± 6.67,300.00 ± 163.30
Unknown-2217,19.90 ± 20.38,16.57 ± 17.66,18.06 ± 18.91,860.00 ± 585.66
Unknown-2218,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,275.00 ± 170.78
Unknown-2219,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,633.33 ± 1011.60
Unknown-2220,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,80.00 ± 44.72
Unknown-2221,20.00 ± 44.72,6.67 ± 14.91,10.00 ± 22.36,240.00 ± 167.33
Unknown-2222,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,133.33 ± 57.74
Unknown-2223,18.75 ± 23.94,40.00 ± 48.99,25.49 ± 32.10,225.00 ± 189.30
Unknown-2224,6.67 ± 14.91,10.00 ± 22.36,8.00 ± 17.89,180.00 ± 44.72
Unknown-2225,75.00 ± 50.00,22.50 ± 16.58,34.29 ± 24.24,350.00 ± 173.21
Unknown-2227,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,200.00 ± 122.47
Unknown-2228,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,200.00 ± 141.42
