Category,precision,recall,f1-score,support
Unknown-130,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,100.00 ± 0.00
Unknown-131,29.96 ± 18.33,33.45 ± 19.76,31.33 ± 18.41,880.00 ± 465.83
Unknown-132,15.83 ± 20.50,13.89 ± 14.96,14.35 ± 16.65,500.00 ± 234.52
Unknown-133,11.73 ± 19.99,10.86 ± 17.43,11.24 ± 18.59,780.00 ± 420.71
Unknown-134,11.75 ± 17.76,10.45 ± 14.34,10.60 ± 14.82,620.00 ± 349.28
Unknown-135,28.33 ± 13.17,28.75 ± 12.78,28.52 ± 12.97,5660.00 ± 753.66
Unknown-136,13.06 ± 16.54,15.70 ± 19.75,14.25 ± 17.99,2380.00 ± 476.45
Unknown-137,35.63 ± 23.07,45.84 ± 35.92,35.79 ± 20.33,860.00 ± 965.92
Unknown-138,10.00 ± 22.36,5.00 ± 11.18,6.67 ± 14.91,400.00 ± 300.00
Unknown-139,46.67 ± 17.24,43.53 ± 19.62,44.84 ± 18.25,1260.00 ± 844.39
Unknown-140,21.67 ± 30.96,30.00 ± 41.50,24.44 ± 33.70,300.00 ± 187.08
Unknown-141,3.65 ± 3.49,60.00 ± 54.77,6.87 ± 6.54,160.00 ± 207.36
Unknown-142,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,300.00 ± 353.55
Unknown-143,22.25 ± 21.61,28.18 ± 26.94,24.81 ± 23.90,2200.00 ± 484.77
Unknown-144,2.67 ± 5.96,6.67 ± 14.91,3.81 ± 8.52,400.00 ± 200.00
Unknown-145,6.67 ± 14.91,2.00 ± 4.47,3.08 ± 6.88,520.00 ± 828.85
Unknown-146,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,175.00 ± 221.74
Unknown-147,44.46 ± 8.74,43.58 ± 13.17,43.35 ± 9.29,1740.00 ± 694.98
Unknown-148,27.46 ± 16.39,27.09 ± 18.78,26.90 ± 17.77,2880.00 ± 1940.88
Unknown-149,20.00 ± 44.72,6.67 ± 14.91,10.00 ± 22.36,440.00 ± 343.51
Unknown-150,50.91 ± 16.61,52.31 ± 8.75,51.22 ± 13.20,1440.00 ± 1021.27
Unknown-151,40.36 ± 4.84,40.71 ± 7.33,40.46 ± 5.89,5480.00 ± 3840.18
Unknown-152,2.50 ± 5.59,1.67 ± 3.73,2.00 ± 4.47,2080.00 ± 1984.19
Unknown-153,16.67 ± 23.57,9.17 ± 14.55,11.64 ± 17.70,580.00 ± 277.49
Unknown-154,6.86 ± 9.60,9.17 ± 14.55,7.08 ± 9.83,780.00 ± 402.49
Unknown-155,36.67 ± 33.55,36.75 ± 34.31,36.62 ± 33.76,15820.00 ± 3828.45
Unknown-156,63.11 ± 6.10,67.97 ± 6.76,65.37 ± 5.87,6220.00 ± 1054.51
Unknown-157,42.57 ± 17.54,44.90 ± 19.78,42.97 ± 18.65,1200.00 ± 234.52
Unknown-158,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,1120.00 ± 846.76
Unknown-159,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,125.00 ± 95.74
Unknown-160,27.50 ± 32.02,12.50 ± 15.96,16.96 ± 20.90,450.00 ± 369.68
Unknown-161,1.25 ± 2.80,2.86 ± 6.39,1.74 ± 3.89,580.00 ± 294.96
Unknown-162,27.63 ± 15.77,26.30 ± 16.35,26.39 ± 15.03,1140.00 ± 512.84
Unknown-163,33.58 ± 24.39,35.29 ± 22.87,34.24 ± 23.51,2680.00 ± 637.97
Unknown-164,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,220.00 ± 44.72
Unknown-165,1.25 ± 2.80,1.82 ± 4.07,1.48 ± 3.31,620.00 ± 925.74
Unknown-166,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,150.00 ± 129.10
Unknown-167,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,200.00 ± 100.00
Unknown-168,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,440.00 ± 507.94
Unknown-169,21.39 ± 8.04,19.39 ± 6.50,19.83 ± 6.23,2180.00 ± 432.43
Unknown-170,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,1100.00 ± 1294.22
Unknown-171,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,320.00 ± 258.84
Unknown-172,26.19 ± 35.40,29.52 ± 34.40,26.08 ± 31.87,420.00 ± 370.14
Unknown-173,27.96 ± 17.26,27.20 ± 15.49,27.20 ± 15.55,2800.00 ± 1007.47
Unknown-174,6.00 ± 8.94,7.50 ± 11.18,5.93 ± 8.13,720.00 ± 228.04
Unknown-175,49.29 ± 7.57,50.91 ± 8.49,50.05 ± 7.91,6920.00 ± 2338.16
Unknown-176,19.69 ± 20.71,19.28 ± 19.97,18.93 ± 19.93,1100.00 ± 452.77
Unknown-177,11.28 ± 9.41,19.60 ± 19.92,14.15 ± 12.86,960.00 ± 461.52
Unknown-178,38.25 ± 12.26,41.70 ± 8.08,39.71 ± 10.11,2780.00 ± 712.04
Unknown-179,10.00 ± 22.36,10.00 ± 22.36,10.00 ± 22.36,120.00 ± 178.89
Unknown-180,12.35 ± 12.50,9.72 ± 10.39,10.62 ± 10.83,1040.00 ± 427.78
Unknown-181,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,166.67 ± 57.74
Unknown-182,8.25 ± 8.20,9.00 ± 10.25,8.53 ± 9.01,1200.00 ± 430.12
Unknown-183,3.08 ± 6.88,4.00 ± 8.94,3.48 ± 7.78,820.00 ± 349.28
Unknown-184,58.59 ± 8.66,58.16 ± 9.28,58.37 ± 8.97,18840.00 ± 6890.79
Unknown-186,10.43 ± 13.69,16.00 ± 15.88,11.75 ± 13.18,820.00 ± 676.02
Unknown-187,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,760.00 ± 364.69
Unknown-188,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,200.00 ± 122.47
Unknown-189,35.75 ± 36.91,49.00 ± 36.77,38.92 ± 35.27,440.00 ± 207.36
Unknown-190,17.53 ± 18.05,14.09 ± 13.29,15.41 ± 14.89,1320.00 ± 843.80
Unknown-191,24.74 ± 3.28,31.24 ± 6.83,27.28 ± 3.68,3560.00 ± 684.11
Unknown-193,18.12 ± 13.63,19.71 ± 15.86,18.48 ± 14.40,3100.00 ± 1469.69
Unknown-194,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,120.00 ± 130.38
Unknown-195,51.56 ± 10.67,57.99 ± 14.27,54.22 ± 11.67,5200.00 ± 2045.73
Unknown-196,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,380.00 ± 363.32
Unknown-197,32.28 ± 5.60,48.43 ± 3.52,38.42 ± 4.16,2740.00 ± 1633.40
Unknown-198,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,266.67 ± 378.59
Unknown-199,27.11 ± 19.20,28.76 ± 19.10,27.44 ± 18.71,1900.00 ± 830.66
Unknown-200,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,150.00 ± 100.00
Unknown-201,9.17 ± 14.55,5.00 ± 7.45,6.44 ± 9.83,800.00 ± 380.79
Unknown-202,4.03 ± 6.27,5.15 ± 7.55,4.51 ± 6.82,580.00 ± 311.45
Unknown-203,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,550.00 ± 387.30
Unknown-204,45.68 ± 28.91,49.64 ± 25.55,45.20 ± 23.35,680.00 ± 192.35
Unknown-205,25.00 ± 28.87,37.50 ± 47.87,29.17 ± 34.36,100.00 ± 81.65
Unknown-206,5.96 ± 13.32,7.57 ± 16.92,6.67 ± 14.91,2620.00 ± 2777.05
Unknown-207,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,420.00 ± 277.49
Unknown-208,12.12 ± 11.88,12.67 ± 14.07,11.94 ± 12.52,1080.00 ± 465.83
Unknown-209,1.18 ± 2.63,1.43 ± 3.19,1.29 ± 2.89,900.00 ± 458.26
Unknown-210,23.77 ± 16.57,33.95 ± 25.86,27.88 ± 20.09,640.00 ± 336.15
Unknown-211,18.54 ± 11.41,17.75 ± 11.36,18.10 ± 11.34,5340.00 ± 1558.20
Unknown-212,23.12 ± 12.04,21.97 ± 16.72,22.19 ± 14.02,4560.00 ± 1215.73
Unknown-213,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,200.00 ± 182.57
Unknown-214,6.67 ± 14.91,6.67 ± 14.91,6.67 ± 14.91,200.00 ± 100.00
Unknown-215,27.10 ± 11.49,46.17 ± 22.28,33.25 ± 13.54,620.00 ± 216.79
Unknown-216,1.18 ± 2.63,1.05 ± 2.35,1.11 ± 2.48,960.00 ± 669.33
Unknown-217,26.65 ± 24.92,26.56 ± 25.54,26.54 ± 25.14,14360.00 ± 4581.27
Unknown-218,32.84 ± 22.12,44.26 ± 29.26,37.39 ± 24.86,1500.00 ± 758.29
Unknown-219,48.74 ± 9.44,47.39 ± 7.39,47.75 ± 7.43,3800.00 ± 1272.79
Unknown-220,7.49 ± 12.09,9.84 ± 13.66,8.22 ± 12.36,2300.00 ± 860.23
Unknown-221,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,520.00 ± 521.54
Unknown-222,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,166.67 ± 57.74
Unknown-224,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,375.00 ± 618.47
Unknown-225,33.24 ± 4.19,38.68 ± 13.19,35.13 ± 6.52,2460.00 ± 820.37
Unknown-226,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,475.00 ± 689.81
Unknown-227,12.78 ± 18.80,16.89 ± 23.18,14.09 ± 19.69,880.00 ± 949.74
Unknown-228,33.57 ± 9.97,32.66 ± 7.96,32.03 ± 6.45,2160.00 ± 680.44
Unknown-229,32.52 ± 11.48,37.68 ± 13.35,34.49 ± 11.69,1760.00 ± 1105.89
Unknown-230,55.51 ± 9.90,51.83 ± 9.33,53.23 ± 8.78,5860.00 ± 2790.70
Unknown-231,46.59 ± 12.36,42.14 ± 12.53,43.96 ± 12.05,2720.00 ± 576.19
Unknown-232,16.19 ± 4.85,15.55 ± 5.07,15.50 ± 3.94,1320.00 ± 370.14
Unknown-233,41.76 ± 16.55,38.25 ± 15.38,39.66 ± 15.61,3360.00 ± 1883.61
Unknown-234,60.10 ± 2.59,59.00 ± 5.25,59.49 ± 3.75,10820.00 ± 3307.11
Unknown-235,12.50 ± 25.00,12.50 ± 25.00,12.50 ± 25.00,125.00 ± 50.00
Unknown-236,50.00 ± 70.71,16.67 ± 23.57,25.00 ± 35.36,200.00 ± 141.42
Unknown-237,9.05 ± 13.08,6.67 ± 9.43,7.27 ± 9.96,520.00 ± 567.45
Unknown-238,36.95 ± 5.52,40.45 ± 11.44,38.20 ± 6.80,3300.00 ± 1550.81
Unknown-239,4.00 ± 8.94,6.67 ± 14.91,5.00 ± 11.18,720.00 ± 491.93
Unknown-240,12.62 ± 10.59,11.32 ± 8.61,11.74 ± 9.44,1500.00 ± 308.22
Unknown-241,18.77 ± 13.62,24.88 ± 14.69,20.67 ± 12.88,740.00 ± 433.59
Unknown-242,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,600.00 ± 1067.71
Unknown-243,17.73 ± 16.84,16.95 ± 11.04,13.73 ± 10.14,840.00 ± 594.14
Unknown-244,40.39 ± 34.94,48.57 ± 30.78,41.80 ± 33.57,400.00 ± 187.08
Unknown-246,37.36 ± 16.97,41.44 ± 13.69,38.35 ± 13.95,2080.00 ± 1035.37
Unknown-247,1.00 ± 2.24,1.33 ± 2.98,1.14 ± 2.56,640.00 ± 572.71
Unknown-248,9.25 ± 10.14,5.91 ± 6.38,7.17 ± 7.75,1920.00 ± 742.97
Unknown-249,18.30 ± 14.24,23.33 ± 13.69,19.30 ± 11.52,440.00 ± 270.19
