Category,precision,recall,f1-score,support
Unknown-136,15.22 ± 15.04,18.78 ± 17.80,16.79 ± 16.29,2380.00 ± 476.45
Unknown-137,35.63 ± 23.07,45.84 ± 35.92,35.79 ± 20.33,860.00 ± 965.92
Unknown-138,10.00 ± 22.36,5.00 ± 11.18,6.67 ± 14.91,400.00 ± 300.00
Unknown-139,46.67 ± 17.24,43.53 ± 19.62,44.84 ± 18.25,1260.00 ± 844.39
Unknown-140,21.67 ± 30.96,30.00 ± 41.50,24.44 ± 33.70,300.00 ± 187.08
Unknown-141,24.00 ± 43.36,24.00 ± 43.36,24.00 ± 43.36,160.00 ± 207.36
Unknown-142,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,375.00 ± 359.40
Unknown-143,42.72 ± 10.82,50.86 ± 10.19,46.23 ± 10.14,2200.00 ± 484.77
Unknown-144,2.67 ± 5.96,6.67 ± 14.91,3.81 ± 8.52,400.00 ± 200.00
Unknown-145,6.67 ± 14.91,2.00 ± 4.47,3.08 ± 6.88,520.00 ± 828.85
Unknown-146,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,175.00 ± 221.74
Unknown-147,36.00 ± 21.91,35.43 ± 23.73,35.05 ± 21.66,1740.00 ± 694.98
Unknown-148,27.46 ± 16.39,27.09 ± 18.78,26.90 ± 17.77,2880.00 ± 1940.88
Unknown-149,20.00 ± 44.72,6.67 ± 14.91,10.00 ± 22.36,440.00 ± 343.51
Unknown-150,50.91 ± 16.61,52.31 ± 8.75,51.22 ± 13.20,1440.00 ± 1021.27
Unknown-151,40.36 ± 4.84,40.71 ± 7.33,40.46 ± 5.89,5480.00 ± 3840.18
Unknown-152,2.50 ± 5.59,1.67 ± 3.73,2.00 ± 4.47,2080.00 ± 1984.19
Unknown-153,16.67 ± 23.57,9.17 ± 14.55,11.64 ± 17.70,580.00 ± 277.49
Unknown-154,9.08 ± 8.88,15.83 ± 16.77,10.41 ± 9.65,780.00 ± 402.49
Unknown-155,48.70 ± 27.32,50.57 ± 29.36,49.48 ± 28.09,15820.00 ± 3828.45
Unknown-156,63.11 ± 6.10,67.97 ± 6.76,65.37 ± 5.87,6220.00 ± 1054.51
Unknown-157,42.57 ± 17.54,44.90 ± 19.78,42.97 ± 18.65,1200.00 ± 234.52
Unknown-158,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,1120.00 ± 846.76
Unknown-159,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,125.00 ± 95.74
Unknown-160,25.42 ± 30.29,29.17 ± 39.38,24.60 ± 28.88,450.00 ± 369.68
Unknown-161,1.25 ± 2.80,2.86 ± 6.39,1.74 ± 3.89,580.00 ± 294.96
Unknown-162,27.63 ± 15.77,26.30 ± 16.35,26.39 ± 15.03,1140.00 ± 512.84
Unknown-163,42.67 ± 15.64,38.74 ± 16.69,39.24 ± 15.81,2680.00 ± 637.97
Unknown-164,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,220.00 ± 44.72
Unknown-165,1.25 ± 2.80,1.82 ± 4.07,1.48 ± 3.31,620.00 ± 925.74
Unknown-166,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,150.00 ± 129.10
Unknown-167,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,200.00 ± 100.00
Unknown-168,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,440.00 ± 507.94
Unknown-169,21.39 ± 8.04,19.39 ± 6.50,19.83 ± 6.23,2180.00 ± 432.43
Unknown-170,10.00 ± 22.36,1.25 ± 2.80,2.22 ± 4.97,1100.00 ± 1294.22
Unknown-171,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,320.00 ± 258.84
Unknown-172,9.05 ± 13.08,16.19 ± 28.89,11.08 ± 17.49,420.00 ± 370.14
Unknown-173,36.14 ± 7.79,36.20 ± 5.74,35.77 ± 5.14,2800.00 ± 1007.47
Unknown-174,1.48 ± 3.31,5.00 ± 11.18,2.29 ± 5.11,720.00 ± 228.04
Unknown-175,49.29 ± 7.57,50.91 ± 8.49,50.05 ± 7.91,6920.00 ± 2338.16
Unknown-176,19.69 ± 20.71,19.28 ± 19.97,18.93 ± 19.93,1100.00 ± 452.77
Unknown-177,11.28 ± 9.41,19.60 ± 19.92,14.15 ± 12.86,960.00 ± 461.52
Unknown-178,38.25 ± 12.26,41.70 ± 8.08,39.71 ± 10.11,2780.00 ± 712.04
Unknown-179,10.00 ± 22.36,10.00 ± 22.36,10.00 ± 22.36,120.00 ± 178.89
