Category,precision,recall,f1-score,support
Unknown-3478,24.00 ± 43.36,16.67 ± 23.57,18.33 ± 29.11,180.00 ± 109.54
Unknown-3479,33.33 ± 42.49,23.00 ± 22.80,26.22 ± 29.08,280.00 ± 192.35
Unknown-3481,4.17 ± 9.32,10.00 ± 22.36,5.88 ± 13.15,300.00 ± 400.00
Unknown-3488,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,250.00 ± 100.00
Unknown-3490,8.00 ± 17.89,10.00 ± 22.36,8.89 ± 19.88,180.00 ± 148.32
Unknown-3491,17.71 ± 20.52,40.00 ± 48.99,24.04 ± 27.80,225.00 ± 189.30
Unknown-3494,11.11 ± 19.25,33.33 ± 57.74,16.67 ± 28.87,100.00 ± 0.00
Unknown-3497,3.70 ± 6.42,16.67 ± 28.87,6.06 ± 10.50,133.33 ± 57.74
Unknown-3498,23.33 ± 32.49,20.00 ± 29.81,21.33 ± 30.70,120.00 ± 164.32
Unknown-3501,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,100.00 ± 0.00
Unknown-3502,12.50 ± 25.00,8.33 ± 16.67,10.00 ± 20.00,125.00 ± 150.00
Unknown-3505,30.00 ± 44.72,25.00 ± 43.30,26.67 ± 43.46,200.00 ± 141.42
Unknown-3508,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,50.00 ± 70.71
Unknown-3509,8.71 ± 10.08,30.00 ± 47.61,12.24 ± 15.04,250.00 ± 208.17
Unknown-3510,12.14 ± 21.67,30.00 ± 44.72,13.87 ± 21.87,160.00 ± 114.02
Unknown-3511,58.33 ± 11.79,60.00 ± 56.57,54.29 ± 36.37,350.00 ± 212.13
Unknown-3513,27.50 ± 24.66,50.00 ± 40.82,31.97 ± 23.08,225.00 ± 263.00
Unknown-3515,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,80.00 ± 83.67
