Category,precision,recall,f1-score,support
Unknown-252,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,160.00 ± 151.66
Unknown-253,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,360.00 ± 288.10
Unknown-254,0.67 ± 1.49,0.87 ± 1.94,0.75 ± 1.69,1440.00 ± 726.64
Unknown-255,41.07 ± 26.86,37.84 ± 25.17,35.92 ± 20.76,2380.00 ± 1107.70
Unknown-256,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,233.33 ± 152.75
Unknown-257,30.35 ± 13.37,30.21 ± 13.91,29.92 ± 13.53,2540.00 ± 763.54
Unknown-258,42.50 ± 42.94,40.95 ± 44.24,36.67 ± 34.16,240.00 ± 279.28
Unknown-259,50.59 ± 29.90,51.41 ± 26.28,49.33 ± 28.27,940.00 ± 912.69
Unknown-260,16.67 ± 23.57,12.50 ± 17.68,13.73 ± 18.81,600.00 ± 282.84
Unknown-262,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,75.00 ± 50.00
Unknown-263,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,280.00 ± 192.35
Unknown-264,14.75 ± 12.47,10.61 ± 7.15,12.17 ± 9.09,1520.00 ± 759.61
Unknown-265,31.25 ± 47.32,37.50 ± 47.87,33.33 ± 47.14,125.00 ± 50.00
Unknown-266,32.70 ± 15.65,36.61 ± 16.08,33.42 ± 14.68,720.00 ± 164.32
Unknown-268,7.67 ± 11.28,8.08 ± 11.57,7.86 ± 11.41,1180.00 ± 729.38
Unknown-269,11.11 ± 19.25,33.33 ± 57.74,16.67 ± 28.87,100.00 ± 0.00
Unknown-270,1.67 ± 3.73,6.67 ± 14.91,2.67 ± 5.96,280.00 ± 130.38
Unknown-271,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,100.00 ± 0.00
Unknown-272,33.50 ± 44.85,33.75 ± 42.30,33.05 ± 43.67,660.00 ± 626.90
Unknown-273,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,560.00 ± 270.19
Unknown-274,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,540.00 ± 114.02
Unknown-275,21.82 ± 28.54,23.63 ± 26.52,21.89 ± 25.93,800.00 ± 533.85
Unknown-276,3.33 ± 7.45,2.50 ± 5.59,2.86 ± 6.39,680.00 ± 389.87
Unknown-277,10.36 ± 10.59,11.50 ± 11.40,10.83 ± 10.87,520.00 ± 277.49
Unknown-278,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,33.33 ± 57.74
Unknown-279,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,240.00 ± 89.44
