Category,precision,recall,f1-score,support
Unknown-357,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,420.00 ± 249.00
Unknown-358,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,350.00 ± 238.05
Unknown-362,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,700.00 ± 430.12
Unknown-363,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,1100.00 ± 1630.95
Unknown-364,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,360.00 ± 167.33
Unknown-365,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,250.00 ± 100.00
Unknown-368,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,100.00 ± 0.00
Unknown-369,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,200.00 ± 173.21
Unknown-371,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,166.67 ± 57.74
Unknown-374,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,150.00 ± 100.00
Unknown-375,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,100.00 ± 0.00
Unknown-376,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,200.00 ± 141.42
Unknown-378,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,400.00 ± 476.10
Unknown-379,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,200.00 ± 141.42
Unknown-382,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,133.33 ± 57.74
Unknown-383,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,950.00 ± 500.00
Unknown-388,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,320.00 ± 83.67
Unknown-389,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,200.00 ± 100.00
Unknown-390,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,620.00 ± 396.23
Unknown-391,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,600.00 ± 353.55
Unknown-394,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,100.00 ± 0.00
Unknown-396,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,166.67 ± 57.74
Unknown-399,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,450.00 ± 494.97
Unknown-400,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,480.00 ± 491.93
Unknown-401,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,760.00 ± 844.39
Unknown-402,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,440.00 ± 384.71
Unknown-403,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,166.67 ± 115.47
Unknown-404,0.00,0.00,0.00,100.00
Unknown-405,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,200.00 ± 141.42
Unknown-408,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,333.33 ± 115.47
Unknown-413,0.00,0.00,0.00,100.00
Unknown-415,0.12 ± 0.24,25.00 ± 50.00,0.23 ± 0.47,825.00 ± 818.03
Unknown-416,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,250.00 ± 191.49
