Category,precision,recall,f1-score,support
Unknown-150,50.91 ± 16.61,52.31 ± 8.75,51.22 ± 13.20,1440.00 ± 1021.27
Unknown-151,39.48 ± 5.39,41.50 ± 6.98,40.39 ± 5.92,5480.00 ± 3840.18
Unknown-152,9.68 ± 11.07,9.20 ± 9.97,9.22 ± 10.29,2080.00 ± 1984.19
Unknown-153,26.67 ± 25.28,23.45 ± 30.08,23.40 ± 25.75,580.00 ± 277.49
Unknown-154,21.08 ± 19.40,30.83 ± 18.54,24.00 ± 18.77,780.00 ± 402.49
Unknown-155,58.46 ± 5.86,61.88 ± 8.48,59.96 ± 6.47,15820.00 ± 3828.45
Unknown-156,63.11 ± 6.10,67.97 ± 6.76,65.37 ± 5.87,6220.00 ± 1054.51
Unknown-157,42.57 ± 17.54,44.90 ± 19.78,42.97 ± 18.65,1200.00 ± 234.52
Unknown-158,11.01 ± 15.63,7.88 ± 10.88,8.96 ± 12.28,1120.00 ± 846.76
Unknown-159,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,166.67 ± 57.74
Unknown-160,19.27 ± 27.68,20.00 ± 29.81,17.98 ± 24.67,360.00 ± 378.15
Unknown-161,8.96 ± 11.71,17.52 ± 18.57,11.43 ± 13.72,580.00 ± 294.96
Unknown-162,27.63 ± 15.77,26.30 ± 16.35,26.39 ± 15.03,1140.00 ± 512.84
Unknown-163,44.11 ± 15.75,47.41 ± 13.87,45.65 ± 14.93,2680.00 ± 637.97
Unknown-164,30.00 ± 44.72,20.00 ± 27.39,23.33 ± 32.49,220.00 ± 44.72
Unknown-165,4.41 ± 8.82,3.41 ± 6.82,3.85 ± 7.69,775.00 ± 991.21
Unknown-166,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,200.00 ± 100.00
Unknown-167,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,200.00 ± 100.00
Unknown-168,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,440.00 ± 507.94
Unknown-169,21.39 ± 8.04,19.39 ± 6.50,19.83 ± 6.23,2180.00 ± 432.43
Unknown-170,23.52 ± 13.73,17.38 ± 13.69,18.40 ± 12.52,1100.00 ± 1294.22
Unknown-171,5.45 ± 12.20,10.00 ± 22.36,7.06 ± 15.78,320.00 ± 258.84
Unknown-172,26.19 ± 35.40,29.52 ± 34.40,26.08 ± 31.87,420.00 ± 370.14
Unknown-173,35.04 ± 8.68,36.89 ± 5.14,35.35 ± 5.02,2800.00 ± 1007.47
Unknown-174,28.33 ± 41.50,15.50 ± 17.18,14.60 ± 13.92,720.00 ± 228.04
Unknown-175,49.29 ± 7.57,50.91 ± 8.49,50.05 ± 7.91,6920.00 ± 2338.16
Unknown-176,17.21 ± 15.84,20.46 ± 22.08,18.17 ± 18.46,1100.00 ± 452.77
Unknown-177,16.67 ± 9.03,28.35 ± 18.73,20.82 ± 12.32,960.00 ± 461.52
Unknown-178,38.63 ± 12.02,42.44 ± 8.14,40.23 ± 9.90,2780.00 ± 712.04
Unknown-179,10.00 ± 22.36,10.00 ± 22.36,10.00 ± 22.36,120.00 ± 178.89
Unknown-180,31.53 ± 16.35,26.39 ± 12.88,28.34 ± 14.35,1040.00 ± 427.78
Unknown-181,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,166.67 ± 57.74
Unknown-182,18.25 ± 19.00,14.88 ± 12.07,15.94 ± 14.05,1200.00 ± 430.12
Unknown-183,9.72 ± 9.52,14.00 ± 13.42,11.44 ± 11.10,820.00 ± 349.28
Unknown-184,58.58 ± 8.39,58.36 ± 9.16,58.47 ± 8.77,18840.00 ± 6890.79
Unknown-186,27.33 ± 14.05,45.95 ± 19.87,33.50 ± 16.26,820.00 ± 676.02
Unknown-187,20.00 ± 44.72,1.54 ± 3.44,2.86 ± 6.39,760.00 ± 364.69
Unknown-188,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,200.00 ± 122.47
Unknown-189,34.67 ± 37.28,57.33 ± 41.06,39.64 ± 35.31,440.00 ± 207.36
Unknown-190,26.47 ± 11.43,26.47 ± 5.55,25.86 ± 7.31,1320.00 ± 843.80
Unknown-191,25.01 ± 3.41,31.24 ± 6.83,27.47 ± 3.87,3560.00 ± 684.11
Unknown-193,21.70 ± 9.07,22.57 ± 12.31,21.61 ± 10.31,3100.00 ± 1469.69
Unknown-195,53.67 ± 12.01,57.99 ± 14.27,55.38 ± 12.45,5200.00 ± 2045.73
Unknown-196,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,380.00 ± 363.32
Unknown-197,32.50 ± 5.79,48.96 ± 4.39,38.75 ± 4.61,2740.00 ± 1633.40
Unknown-198,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,266.67 ± 378.59
Unknown-199,28.43 ± 18.85,31.21 ± 20.50,29.20 ± 18.98,1900.00 ± 830.66
Unknown-200,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,150.00 ± 100.00
Unknown-201,31.67 ± 40.99,22.38 ± 21.93,23.33 ± 22.85,800.00 ± 380.79
Unknown-202,15.39 ± 15.17,23.61 ± 16.12,17.63 ± 14.90,580.00 ± 311.45
Unknown-203,50.00 ± 57.74,11.25 ± 13.15,18.33 ± 21.34,550.00 ± 387.30
Unknown-204,45.42 ± 24.93,58.81 ± 22.74,49.28 ± 19.78,680.00 ± 192.35
Unknown-205,12.50 ± 25.00,25.00 ± 50.00,16.67 ± 33.33,100.00 ± 81.65
Unknown-206,32.91 ± 21.69,45.48 ± 28.80,37.79 ± 24.02,2620.00 ± 2777.05
Unknown-207,7.22 ± 11.04,6.50 ± 9.29,6.19 ± 8.52,420.00 ± 277.49
Unknown-208,23.59 ± 16.74,23.55 ± 19.76,22.35 ± 16.12,1080.00 ± 465.83
Unknown-209,20.07 ± 17.66,29.62 ± 31.28,22.65 ± 21.78,900.00 ± 458.26
Unknown-210,23.77 ± 16.57,33.95 ± 25.86,27.88 ± 20.09,640.00 ± 336.15
Unknown-211,25.03 ± 6.32,24.81 ± 8.06,24.86 ± 7.15,5340.00 ± 1558.20
Unknown-212,23.12 ± 12.04,21.97 ± 16.72,22.19 ± 14.02,4560.00 ± 1215.73
Unknown-213,66.67 ± 57.74,44.44 ± 50.92,50.00 ± 50.00,266.67 ± 152.75
Unknown-214,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,200.00 ± 100.00
Unknown-215,29.84 ± 12.42,47.67 ± 21.65,35.47 ± 13.65,620.00 ± 216.79
Unknown-216,17.38 ± 16.14,25.19 ± 24.02,20.23 ± 18.60,960.00 ± 669.33
Unknown-217,45.24 ± 8.07,43.77 ± 10.35,44.40 ± 9.15,14360.00 ± 4581.27
Unknown-218,45.19 ± 16.81,64.52 ± 12.29,51.86 ± 13.01,1500.00 ± 758.29
Unknown-219,49.09 ± 10.20,48.76 ± 8.63,48.55 ± 8.25,3800.00 ± 1272.79
Unknown-220,23.10 ± 9.20,36.67 ± 11.48,27.85 ± 10.13,2300.00 ± 860.23
Unknown-221,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,650.00 ± 500.00
Unknown-222,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,166.67 ± 57.74
Unknown-224,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,375.00 ± 618.47
Unknown-225,32.86 ± 4.77,38.68 ± 13.19,34.95 ± 6.79,2460.00 ± 820.37
Unknown-226,25.00 ± 50.00,12.50 ± 25.00,16.67 ± 33.33,475.00 ± 689.81
Unknown-227,12.44 ± 18.16,16.89 ± 23.18,13.93 ± 19.42,880.00 ± 949.74
Unknown-228,34.28 ± 9.43,32.66 ± 7.96,32.46 ± 6.33,2160.00 ± 680.44
Unknown-229,33.28 ± 12.42,39.68 ± 17.60,35.69 ± 13.79,1760.00 ± 1105.89
Unknown-230,55.51 ± 9.90,51.83 ± 9.33,53.23 ± 8.78,5860.00 ± 2790.70
Unknown-231,41.16 ± 10.26,43.57 ± 11.47,41.39 ± 8.12,2720.00 ± 576.19
Unknown-232,14.96 ± 7.85,19.76 ± 10.81,16.68 ± 8.91,1320.00 ± 370.14
Unknown-233,41.76 ± 16.55,38.25 ± 15.38,39.66 ± 15.61,3360.00 ± 1883.61
Unknown-234,59.90 ± 2.97,59.49 ± 4.93,59.67 ± 3.85,10820.00 ± 3307.11
Unknown-235,10.00 ± 20.00,25.00 ± 50.00,14.29 ± 28.57,125.00 ± 50.00
Unknown-236,50.00 ± 70.71,50.00 ± 70.71,50.00 ± 70.71,200.00 ± 141.42
Unknown-237,10.74 ± 16.38,17.33 ± 28.91,13.16 ± 20.81,520.00 ± 567.45
Unknown-238,37.30 ± 5.07,43.26 ± 11.88,39.49 ± 6.29,3300.00 ± 1550.81
Unknown-239,13.33 ± 12.47,17.71 ± 16.35,15.04 ± 13.77,720.00 ± 491.93
Unknown-240,21.30 ± 15.08,21.32 ± 17.06,21.05 ± 15.99,1500.00 ± 308.22
Unknown-241,18.77 ± 13.62,24.88 ± 14.69,20.67 ± 12.88,740.00 ± 433.59
Unknown-243,24.55 ± 16.49,16.95 ± 11.04,18.83 ± 11.63,840.00 ± 594.14
Unknown-244,40.82 ± 33.64,51.43 ± 30.78,43.87 ± 32.02,400.00 ± 187.08
Unknown-246,37.88 ± 17.39,41.44 ± 13.69,38.63 ± 14.26,2080.00 ± 1035.37
