Category,precision,recall,f1-score,support
Unknown-128,30.00 ± 29.81,28.33 ± 29.81,28.00 ± 28.44,280.00 ± 83.67
Unknown-129,20.38 ± 8.17,22.78 ± 9.55,20.50 ± 7.44,780.00 ± 109.54
Unknown-130,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,100.00 ± 0.00
Unknown-131,29.05 ± 17.17,33.45 ± 19.76,30.90 ± 17.95,880.00 ± 465.83
Unknown-132,14.00 ± 21.91,11.67 ± 16.24,12.44 ± 18.16,500.00 ± 234.52
Unknown-133,2.50 ± 5.59,2.86 ± 6.39,2.67 ± 5.96,780.00 ± 420.71
Unknown-134,12.45 ± 11.66,31.59 ± 32.04,17.76 ± 16.93,620.00 ± 349.28
Unknown-135,28.89 ± 14.03,28.75 ± 12.78,28.80 ± 13.41,5660.00 ± 753.66
Unknown-136,17.62 ± 12.80,21.94 ± 14.78,19.52 ± 13.71,2380.00 ± 476.45
Unknown-137,34.53 ± 22.48,44.10 ± 36.27,34.31 ± 19.71,860.00 ± 965.92
Unknown-138,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,400.00 ± 300.00
Unknown-139,34.95 ± 19.14,43.53 ± 19.62,36.34 ± 16.10,1260.00 ± 844.39
Unknown-140,34.29 ± 48.02,23.33 ± 36.51,25.38 ± 36.04,300.00 ± 187.08
Unknown-141,6.25 ± 12.50,5.00 ± 10.00,5.56 ± 11.11,200.00 ± 216.02
Unknown-142,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,375.00 ± 359.40
Unknown-143,42.72 ± 10.82,50.86 ± 10.19,46.23 ± 10.14,2200.00 ± 484.77
Unknown-144,5.00 ± 11.18,6.67 ± 14.91,5.71 ± 12.78,400.00 ± 200.00
Unknown-145,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,520.00 ± 828.85
Unknown-146,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,175.00 ± 221.74
Unknown-147,40.17 ± 7.55,46.06 ± 12.89,42.14 ± 8.03,1740.00 ± 694.98
Unknown-148,26.68 ± 16.67,17.91 ± 16.34,17.76 ± 13.88,2880.00 ± 1940.88
Unknown-149,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,440.00 ± 343.51
Unknown-150,48.85 ± 14.18,52.31 ± 8.75,50.23 ± 12.01,1440.00 ± 1021.27
Unknown-151,40.89 ± 3.61,40.75 ± 9.15,40.54 ± 6.07,5480.00 ± 3840.18
Unknown-152,4.32 ± 6.03,4.52 ± 6.54,4.22 ± 5.79,2080.00 ± 1984.19
Unknown-153,30.00 ± 44.72,9.17 ± 14.55,12.44 ± 18.16,580.00 ± 277.49
