Category,precision,recall,f1-score,support
Unknown-2000,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,120.00 ± 83.67
Unknown-2001,32.14 ± 23.69,75.00 ± 50.00,44.44 ± 31.43,150.00 ± 173.21
Unknown-2002,13.33 ± 29.81,4.44 ± 9.94,6.67 ± 14.91,440.00 ± 296.65
Unknown-2004,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,125.00 ± 50.00
Unknown-2006,34.17 ± 29.81,22.31 ± 18.43,26.38 ± 22.44,740.00 ± 230.22
Unknown-2009,20.00 ± 44.72,10.00 ± 22.36,13.33 ± 29.81,160.00 ± 89.44
Unknown-2010,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,66.67 ± 57.74
Unknown-2011,16.67 ± 23.57,18.00 ± 24.90,17.27 ± 24.14,280.00 ± 164.32
Unknown-2012,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,160.00 ± 151.66
Unknown-2015,17.27 ± 13.45,20.25 ± 18.42,17.60 ± 13.36,900.00 ± 435.89
Unknown-2016,21.82 ± 19.95,48.89 ± 48.18,28.86 ± 28.12,320.00 ± 334.66
Unknown-2020,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,450.00 ± 506.62
Unknown-2021,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,325.00 ± 125.83
Unknown-2022,3.33 ± 7.45,10.00 ± 22.36,5.00 ± 11.18,2180.00 ± 4542.25
Unknown-2023,20.00 ± 44.72,6.67 ± 14.91,10.00 ± 22.36,260.00 ± 207.36
Unknown-2024,19.44 ± 17.35,50.00 ± 50.00,27.78 ± 25.46,166.67 ± 57.74
Unknown-2026,20.00 ± 44.72,10.00 ± 22.36,13.33 ± 29.81,260.00 ± 207.36
Unknown-2028,24.29 ± 34.11,24.29 ± 34.11,24.29 ± 34.11,260.00 ± 288.10
Unknown-2031,63.33 ± 34.16,56.10 ± 26.19,57.94 ± 27.10,420.00 ± 192.35
Unknown-2032,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,425.00 ± 457.35
Unknown-2033,15.00 ± 21.21,50.00 ± 70.71,23.08 ± 32.64,400.00 ± 141.42
Unknown-2034,6.25 ± 12.50,12.50 ± 25.00,8.33 ± 16.67,125.00 ± 95.74
Unknown-2036,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,100.00 ± 0.00
Unknown-2037,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,175.00 ± 95.74
Unknown-2039,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,150.00 ± 100.00
Unknown-2040,9.88 ± 13.94,9.88 ± 13.94,9.88 ± 13.94,640.00 ± 614.82
Unknown-2041,30.62 ± 7.40,53.57 ± 17.09,38.28 ± 9.25,780.00 ± 752.99
Unknown-2043,10.61 ± 16.11,12.27 ± 17.28,11.27 ± 16.48,400.00 ± 406.20
Unknown-2045,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,33.33 ± 57.74
Unknown-2048,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,320.00 ± 238.75
Unknown-2050,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,33.33 ± 57.74
Unknown-2051,23.33 ± 25.17,66.67 ± 57.74,33.33 ± 33.33,66.67 ± 57.74
Unknown-2052,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,100.00 ± 141.42
Unknown-2053,7.82 ± 13.01,25.00 ± 35.36,11.65 ± 18.67,180.00 ± 130.38
Unknown-2054,33.89 ± 24.56,51.39 ± 47.24,38.22 ± 31.02,460.00 ± 357.77
Unknown-2055,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,100.00 ± 141.42
Unknown-2057,16.00 ± 23.02,17.50 ± 24.37,16.67 ± 23.57,300.00 ± 291.55
Unknown-2059,26.00 ± 42.19,16.19 ± 20.44,19.32 ± 27.60,500.00 ± 200.00
Unknown-2060,28.09 ± 25.72,26.81 ± 26.88,26.65 ± 24.91,1040.00 ± 343.51
Unknown-2061,6.67 ± 14.91,20.00 ± 44.72,10.00 ± 22.36,40.00 ± 54.77
Unknown-2062,38.29 ± 13.45,47.50 ± 33.54,35.23 ± 12.71,500.00 ± 331.66
Unknown-2063,10.30 ± 15.09,14.00 ± 21.91,11.81 ± 17.79,680.00 ± 363.32
Unknown-2064,0.00,0.00,0.00,100.00
Unknown-2065,42.42 ± 17.47,44.72 ± 17.54,42.50 ± 15.45,820.00 ± 216.79
Unknown-2067,13.33 ± 18.26,40.00 ± 54.77,20.00 ± 27.39,100.00 ± 70.71
Unknown-2068,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,100.00 ± 81.65
