Category,precision,recall,f1-score,support
Unknown-355,28.33 ± 18.26,40.00 ± 36.51,30.38 ± 18.79,280.00 ± 204.94
Unknown-356,37.06 ± 5.08,39.76 ± 3.88,38.22 ± 4.03,3160.00 ± 712.74
Unknown-357,4.00 ± 8.94,10.00 ± 22.36,5.71 ± 12.78,520.00 ± 303.32
Unknown-358,16.67 ± 23.57,11.67 ± 16.24,13.71 ± 19.21,400.00 ± 234.52
Unknown-359,12.37 ± 12.15,20.03 ± 19.53,14.53 ± 13.48,940.00 ± 853.23
Unknown-360,30.12 ± 15.88,33.72 ± 17.59,31.81 ± 16.67,1400.00 ± 604.15
Unknown-361,39.52 ± 20.30,41.33 ± 8.37,39.35 ± 14.99,520.00 ± 396.23
Unknown-362,5.58 ± 7.65,7.17 ± 9.81,6.28 ± 8.60,920.00 ± 502.00
Unknown-363,4.48 ± 6.81,12.00 ± 17.89,5.87 ± 8.26,980.00 ± 567.45
Unknown-364,29.88 ± 19.69,22.49 ± 17.01,25.49 ± 18.05,1420.00 ± 1169.19
Unknown-365,28.06 ± 12.51,24.19 ± 9.31,22.78 ± 4.18,980.00 ± 506.95
Unknown-366,57.58 ± 43.33,49.23 ± 35.40,46.67 ± 27.39,380.00 ± 516.72
Unknown-367,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,220.00 ± 130.38
Unknown-368,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,600.00 ± 393.70
Unknown-369,22.90 ± 16.79,35.85 ± 29.09,26.98 ± 19.02,840.00 ± 782.94
Unknown-370,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,160.00 ± 114.02
Unknown-371,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,150.00 ± 191.49
Unknown-372,15.03 ± 9.43,15.44 ± 12.08,14.63 ± 9.77,1620.00 ± 664.83
Unknown-374,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,280.00 ± 148.32
Unknown-376,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,100.00 ± 100.00
Unknown-377,7.77 ± 12.45,16.15 ± 23.14,10.35 ± 16.00,500.00 ± 474.34
Unknown-379,4.40 ± 6.45,14.00 ± 21.91,6.00 ± 8.30,140.00 ± 219.09
Unknown-380,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,300.00 ± 163.30
Unknown-381,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,460.00 ± 181.66
Unknown-383,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,200.00 ± 0.00
Unknown-384,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,520.00 ± 311.45
Unknown-385,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,280.00 ± 164.32
Unknown-386,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,380.00 ± 249.00
Unknown-389,21.81 ± 20.05,23.36 ± 21.64,22.51 ± 20.71,760.00 ± 939.68
Unknown-391,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,160.00 ± 151.66
Unknown-392,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,360.00 ± 181.66
Unknown-394,0.00,0.00,0.00,100.00
Unknown-395,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,180.00 ± 109.54
Unknown-396,19.24 ± 18.98,25.45 ± 25.13,20.95 ± 21.39,700.00 ± 583.10
Unknown-397,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,200.00 ± 141.42
Unknown-398,17.50 ± 23.63,19.70 ± 23.28,18.15 ± 22.91,450.00 ± 443.47
Unknown-399,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,175.00 ± 95.74
Unknown-400,44.44 ± 50.92,21.67 ± 20.21,25.45 ± 22.12,366.67 ± 152.75
Unknown-401,3.33 ± 7.45,4.00 ± 8.94,3.64 ± 8.13,300.00 ± 141.42
Unknown-403,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,120.00 ± 83.67
Unknown-404,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,480.00 ± 383.41
Unknown-405,15.75 ± 26.03,32.00 ± 46.04,20.71 ± 32.77,240.00 ± 194.94
Unknown-406,52.00 ± 35.64,36.67 ± 24.72,41.33 ± 25.52,440.00 ± 279.28
Unknown-407,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,250.00 ± 212.13
